[('Harry', 0, False), ('James', 0, True), ('Lily', 0, False)] : 0.00885285
[('Harry', 0, True), ('James', 0, True), ('Lily', 0, False)] : 0.00008942
[('Harry', 0, False), ('James', 0, True), ('Lily', 1, False)] : 0.00006210
[('Harry', 0, True), ('James', 0, True), ('Lily', 1, False)] : 0.00000063
[('Harry', 0, False), ('James', 0, True), ('Lily', 2, False)] : 0.00000033
[('Harry', 0, True), ('James', 0, True), ('Lily', 2, False)] : 0.00000000
[('Harry', 0, False), ('James', 1, True), ('Lily', 0, False)] : 0.00782449
[('Harry', 0, True), ('James', 1, True), ('Lily', 0, False)] : 0.00007904
[('Harry', 0, False), ('James', 1, True), ('Lily', 1, False)] : 0.00005489
[('Harry', 0, True), ('James', 1, True), ('Lily', 1, False)] : 0.00000055
[('Harry', 0, False), ('James', 1, True), ('Lily', 2, False)] : 0.00000029
[('Harry', 0, True), ('James', 1, True), ('Lily', 2, False)] : 0.00000000
[('Harry', 0, False), ('James', 2, True), ('Lily', 0, False)] : 0.00006055
[('Harry', 0, True), ('James', 2, True), ('Lily', 0, False)] : 0.00000061
[('Harry', 0, False), ('James', 2, True), ('Lily', 1, False)] : 0.00000042
[('Harry', 0, True), ('James', 2, True), ('Lily', 1, False)] : 0.00000000
[('Harry', 0, False), ('James', 2, True), ('Lily', 2, False)] : 0.00000000
[('Harry', 0, True), ('James', 2, True), ('Lily', 2, False)] : 0.00000000
[('Harry', 1, False), ('James', 0, True), ('Lily', 0, False)] : 0.00007949
[('Harry', 1, True), ('James', 0, True), ('Lily', 0, False)] : 0.00010117
[('Harry', 1, False), ('James', 0, True), ('Lily', 1, False)] : 0.00002788
[('Harry', 1, True), ('James', 0, True), ('Lily', 1, False)] : 0.00003548
[('Harry', 1, False), ('James', 0, True), ('Lily', 2, False)] : 0.00001449
[('Harry', 1, True), ('James', 0, True), ('Lily', 2, False)] : 0.00001844
[('Harry', 1, False), ('James', 1, True), ('Lily', 0, False)] : 0.00351268
[('Harry', 1, True), ('James', 1, True), ('Lily', 0, False)] : 0.00447068
[('Harry', 1, False), ('James', 1, True), ('Lily', 1, False)] : 0.00004879
[('Harry', 1, True), ('James', 1, True), ('Lily', 1, False)] : 0.00006209
[('Harry', 1, False), ('James', 1, True), ('Lily', 2, False)] : 0.00001294
[('Harry', 1, True), ('James', 1, True), ('Lily', 2, False)] : 0.00001646
[('Harry', 1, False), ('James', 2, True), ('Lily', 0, False)] : 0.00266432
[('Harry', 1, True), ('James', 2, True), ('Lily', 0, False)] : 0.00339096
[('Harry', 1, False), ('James', 2, True), ('Lily', 1, False)] : 0.00001888
[('Harry', 1, True), ('James', 2, True), ('Lily', 1, False)] : 0.00002402
[('Harry', 1, False), ('James', 2, True), ('Lily', 2, False)] : 0.00000020
[('Harry', 1, True), ('James', 2, True), ('Lily', 2, False)] : 0.00000025
[('Harry', 2, False), ('James', 0, True), ('Lily', 0, False)] : 0.00000032
[('Harry', 2, True), ('James', 0, True), ('Lily', 0, False)] : 0.00000059
[('Harry', 2, False), ('James', 0, True), ('Lily', 1, False)] : 0.00000022
[('Harry', 2, True), ('James', 0, True), ('Lily', 1, False)] : 0.00000041
[('Harry', 2, False), ('James', 0, True), ('Lily', 2, False)] : 0.00000012
[('Harry', 2, True), ('James', 0, True), ('Lily', 2, False)] : 0.00000022
[('Harry', 2, False), ('James', 1, True), ('Lily', 0, False)] : 0.00002794
[('Harry', 2, True), ('James', 1, True), ('Lily', 0, False)] : 0.00005189
[('Harry', 2, False), ('James', 1, True), ('Lily', 1, False)] : 0.00001940
[('Harry', 2, True), ('James', 1, True), ('Lily', 1, False)] : 0.00003604
[('Harry', 2, False), ('James', 1, True), ('Lily', 2, False)] : 0.00001019
[('Harry', 2, True), ('James', 1, True), ('Lily', 2, False)] : 0.00001892
[('Harry', 2, False), ('James', 2, True), ('Lily', 0, False)] : 0.00002141
[('Harry', 2, True), ('James', 2, True), ('Lily', 0, False)] : 0.00003975
[('Harry', 2, False), ('James', 2, True), ('Lily', 1, False)] : 0.00001486
[('Harry', 2, True), ('James', 2, True), ('Lily', 1, False)] : 0.00002761
[('Harry', 2, False), ('James', 2, True), ('Lily', 2, False)] : 0.00000780
[('Harry', 2, True), ('James', 2, True), ('Lily', 2, False)] : 0.00001449
